네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","여성롱패딩"
"2017-08-01",
"2017-08-02",
"2017-08-03",
"2017-08-04",
"2017-08-05",
"2017-08-06",1
"2017-08-07",
"2017-08-08",
"2017-08-09",
"2017-08-10",1
"2017-08-11",1
"2017-08-12",1
"2017-08-13",
"2017-08-14",1
"2017-08-15",1
"2017-08-16",1
"2017-08-17",1
"2017-08-18",1
"2017-08-19",1
"2017-08-20",1
"2017-08-21",1
"2017-08-22",1
"2017-08-23",1
"2017-08-24",1
"2017-08-25",1
"2017-08-26",1
"2017-08-27",1
"2017-08-28",1
"2017-08-29",1
"2017-08-30",1
"2017-08-31",1
"2017-09-01",1
"2017-09-02",1
"2017-09-03",1
"2017-09-04",1
"2017-09-05",1
"2017-09-06",1
"2017-09-07",1
"2017-09-08",1
"2017-09-09",1
"2017-09-10",1
"2017-09-11",1
"2017-09-12",1
"2017-09-13",
"2017-09-14",1
"2017-09-15",
"2017-09-16",1
"2017-09-17",1
"2017-09-18",1
"2017-09-19",1
"2017-09-20",
"2017-09-21",
"2017-09-22",1
"2017-09-23",1
"2017-09-24",1
"2017-09-25",1
"2017-09-26",1
"2017-09-27",1
"2017-09-28",1
"2017-09-29",1
"2017-09-30",1
"2017-10-01",2
"2017-10-02",1
"2017-10-03",2
"2017-10-04",1
"2017-10-05",2
"2017-10-06",2
"2017-10-07",3
"2017-10-08",2
"2017-10-09",2
"2017-10-10",2
"2017-10-11",2
"2017-10-12",4
"2017-10-13",4
"2017-10-14",5
"2017-10-15",6
"2017-10-16",5
"2017-10-17",6
"2017-10-18",6
"2017-10-19",5
"2017-10-20",3
"2017-10-21",4
"2017-10-22",6
"2017-10-23",5
"2017-10-24",6
"2017-10-25",6
"2017-10-26",5
"2017-10-27",6
"2017-10-28",6
"2017-10-29",10
"2017-10-30",19
"2017-10-31",20
"2017-11-01",15
"2017-11-02",13
"2017-11-03",14
"2017-11-04",17
"2017-11-05",23
"2017-11-06",20
"2017-11-07",16
"2017-11-08",16
"2017-11-09",17
"2017-11-10",16
"2017-11-11",21
"2017-11-12",33
"2017-11-13",30
"2017-11-14",30
"2017-11-15",41
"2017-11-16",70
"2017-11-17",59
"2017-11-18",77
"2017-11-19",99
"2017-11-20",100
"2017-11-21",84
"2017-11-22",67
"2017-11-23",68
"2017-11-24",56
"2017-11-25",56
"2017-11-26",48
"2017-11-27",44
"2017-11-28",36
"2017-11-29",32
"2017-11-30",43
"2017-12-01",54
"2017-12-02",48
"2017-12-03",48
"2017-12-04",55
"2017-12-05",70
"2017-12-06",53
"2017-12-07",43
"2017-12-08",45
"2017-12-09",45
"2017-12-10",54
"2017-12-11",71
"2017-12-12",84
"2017-12-13",85
"2017-12-14",64
"2017-12-15",42
"2017-12-16",42
"2017-12-17",52
"2017-12-18",44
"2017-12-19",40
"2017-12-20",39
"2017-12-21",27
"2017-12-22",23
"2017-12-23",20
"2017-12-24",20
"2017-12-25",24
"2017-12-26",28
"2017-12-27",31
"2017-12-28",25
"2017-12-29",19
"2017-12-30",19
"2017-12-31",17
"2018-01-01",22
"2018-01-02",23
"2018-01-03",27
"2018-01-04",28
"2018-01-05",22
"2018-01-06",26
"2018-01-07",28
"2018-01-08",25
"2018-01-09",29
"2018-01-10",35
"2018-01-11",41
"2018-01-12",38
"2018-01-13",34
"2018-01-14",32
"2018-01-15",21
"2018-01-16",14
"2018-01-17",12
"2018-01-18",10
"2018-01-19",9
"2018-01-20",11
"2018-01-21",14
"2018-01-22",17
"2018-01-23",26
"2018-01-24",41
"2018-01-25",39
"2018-01-26",39
"2018-01-27",40
"2018-01-28",40
"2018-01-29",36
"2018-01-30",30
"2018-01-31",26
"2018-02-01",24
"2018-02-02",21
"2018-02-03",27
"2018-02-04",35
"2018-02-05",39
"2018-02-06",42
"2018-02-07",33
"2018-02-08",24
"2018-02-09",17
"2018-02-10",21
"2018-02-11",24
"2018-02-12",19
"2018-02-13",14
"2018-02-14",11
"2018-02-15",10
"2018-02-16",9
"2018-02-17",10
"2018-02-18",11
"2018-02-19",8
"2018-02-20",7
"2018-02-21",6
"2018-02-22",6
"2018-02-23",4
"2018-02-24",5
"2018-02-25",6
"2018-02-26",5
"2018-02-27",4
"2018-02-28",4
"2018-03-01",5
"2018-03-02",4
"2018-03-03",3
"2018-03-04",3
"2018-03-05",2
"2018-03-06",2
"2018-03-07",2
"2018-03-08",3
"2018-03-09",1
"2018-03-10",1
"2018-03-11",2
"2018-03-12",1
"2018-03-13",1
"2018-03-14",
"2018-03-15",
"2018-03-16",
"2018-03-17",1
"2018-03-18",
"2018-03-19",1
"2018-03-20",1
"2018-03-21",1
"2018-03-22",1
"2018-03-23",1
"2018-03-24",
"2018-03-25",
"2018-03-26",
"2018-03-27",
"2018-03-28",
"2018-03-29",
"2018-03-30",
"2018-03-31",
"2018-04-01",
"2018-04-02",
"2018-04-03",
"2018-04-04",
"2018-04-05",
"2018-04-06",
"2018-04-07",
"2018-04-08",
"2018-04-09",
"2018-04-10",
"2018-04-11",
"2018-04-12",
"2018-04-13",
"2018-04-14",
"2018-04-15",
"2018-04-16",
"2018-04-17",
"2018-04-18",
"2018-04-19",
