네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","뉴발란스롱패딩"
"2017-08-01",
"2017-08-02",
"2017-08-03",1
"2017-08-04",
"2017-08-05",
"2017-08-06",1
"2017-08-07",
"2017-08-08",
"2017-08-09",1
"2017-08-10",
"2017-08-11",
"2017-08-12",1
"2017-08-13",1
"2017-08-14",1
"2017-08-15",1
"2017-08-16",1
"2017-08-17",1
"2017-08-18",1
"2017-08-19",1
"2017-08-20",1
"2017-08-21",1
"2017-08-22",1
"2017-08-23",1
"2017-08-24",1
"2017-08-25",1
"2017-08-26",1
"2017-08-27",1
"2017-08-28",1
"2017-08-29",1
"2017-08-30",1
"2017-08-31",1
"2017-09-01",1
"2017-09-02",1
"2017-09-03",1
"2017-09-04",1
"2017-09-05",1
"2017-09-06",1
"2017-09-07",1
"2017-09-08",2
"2017-09-09",2
"2017-09-10",2
"2017-09-11",1
"2017-09-12",1
"2017-09-13",1
"2017-09-14",1
"2017-09-15",1
"2017-09-16",2
"2017-09-17",2
"2017-09-18",2
"2017-09-19",2
"2017-09-20",1
"2017-09-21",1
"2017-09-22",1
"2017-09-23",2
"2017-09-24",2
"2017-09-25",3
"2017-09-26",3
"2017-09-27",3
"2017-09-28",4
"2017-09-29",4
"2017-09-30",5
"2017-10-01",8
"2017-10-02",8
"2017-10-03",8
"2017-10-04",10
"2017-10-05",10
"2017-10-06",12
"2017-10-07",10
"2017-10-08",10
"2017-10-09",10
"2017-10-10",9
"2017-10-11",10
"2017-10-12",14
"2017-10-13",13
"2017-10-14",14
"2017-10-15",15
"2017-10-16",15
"2017-10-17",13
"2017-10-18",14
"2017-10-19",11
"2017-10-20",11
"2017-10-21",12
"2017-10-22",16
"2017-10-23",16
"2017-10-24",15
"2017-10-25",14
"2017-10-26",12
"2017-10-27",11
"2017-10-28",14
"2017-10-29",24
"2017-10-30",42
"2017-10-31",39
"2017-11-01",35
"2017-11-02",28
"2017-11-03",26
"2017-11-04",36
"2017-11-05",54
"2017-11-06",46
"2017-11-07",34
"2017-11-08",30
"2017-11-09",29
"2017-11-10",27
"2017-11-11",42
"2017-11-12",58
"2017-11-13",60
"2017-11-14",55
"2017-11-15",64
"2017-11-16",81
"2017-11-17",64
"2017-11-18",79
"2017-11-19",98
"2017-11-20",100
"2017-11-21",74
"2017-11-22",53
"2017-11-23",54
"2017-11-24",44
"2017-11-25",42
"2017-11-26",46
"2017-11-27",37
"2017-11-28",28
"2017-11-29",24
"2017-11-30",27
"2017-12-01",26
"2017-12-02",26
"2017-12-03",27
"2017-12-04",28
"2017-12-05",32
"2017-12-06",26
"2017-12-07",21
"2017-12-08",19
"2017-12-09",18
"2017-12-10",21
"2017-12-11",26
"2017-12-12",26
"2017-12-13",24
"2017-12-14",20
"2017-12-15",15
"2017-12-16",15
"2017-12-17",20
"2017-12-18",16
"2017-12-19",13
"2017-12-20",12
"2017-12-21",10
"2017-12-22",7
"2017-12-23",7
"2017-12-24",7
"2017-12-25",9
"2017-12-26",9
"2017-12-27",10
"2017-12-28",9
"2017-12-29",7
"2017-12-30",8
"2017-12-31",7
"2018-01-01",8
"2018-01-02",7
"2018-01-03",7
"2018-01-04",6
"2018-01-05",5
"2018-01-06",6
"2018-01-07",7
"2018-01-08",5
"2018-01-09",7
"2018-01-10",8
"2018-01-11",8
"2018-01-12",9
"2018-01-13",8
"2018-01-14",7
"2018-01-15",5
"2018-01-16",4
"2018-01-17",3
"2018-01-18",3
"2018-01-19",3
"2018-01-20",3
"2018-01-21",3
"2018-01-22",3
"2018-01-23",4
"2018-01-24",6
"2018-01-25",7
"2018-01-26",7
"2018-01-27",7
"2018-01-28",6
"2018-01-29",6
"2018-01-30",5
"2018-01-31",5
"2018-02-01",4
"2018-02-02",3
"2018-02-03",5
"2018-02-04",6
"2018-02-05",7
"2018-02-06",6
"2018-02-07",6
"2018-02-08",4
"2018-02-09",3
"2018-02-10",4
"2018-02-11",5
"2018-02-12",4
"2018-02-13",3
"2018-02-14",2
"2018-02-15",2
"2018-02-16",3
"2018-02-17",3
"2018-02-18",3
"2018-02-19",2
"2018-02-20",2
"2018-02-21",2
"2018-02-22",2
"2018-02-23",1
"2018-02-24",1
"2018-02-25",1
"2018-02-26",1
"2018-02-27",1
"2018-02-28",1
"2018-03-01",1
"2018-03-02",1
"2018-03-03",1
"2018-03-04",1
"2018-03-05",
"2018-03-06",
"2018-03-07",
"2018-03-08",
"2018-03-09",
"2018-03-10",
"2018-03-11",
"2018-03-12",
"2018-03-13",
"2018-03-14",
"2018-03-15",
"2018-03-16",
"2018-03-17",
"2018-03-18",
"2018-03-19",
"2018-03-20",
"2018-03-21",1
"2018-03-22",
"2018-03-23",
"2018-03-24",
"2018-03-25",
"2018-03-26",
"2018-03-27",
"2018-03-28",
"2018-03-29",
"2018-03-30",
"2018-03-31",
"2018-04-01",
"2018-04-02",
"2018-04-03",
"2018-04-04",
"2018-04-05",
"2018-04-06",
"2018-04-07",
"2018-04-08",
"2018-04-09",
"2018-04-10",
"2018-04-11",
"2018-04-12",
"2018-04-13",
"2018-04-14",
"2018-04-15",
"2018-04-16",
"2018-04-17",
"2018-04-18",
"2018-04-19",
