네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","블루투스노래방마이크"
"2017-08-01",7
"2017-08-02",7
"2017-08-03",7
"2017-08-04",6
"2017-08-05",6
"2017-08-06",7
"2017-08-07",6
"2017-08-08",6
"2017-08-09",5
"2017-08-10",6
"2017-08-11",5
"2017-08-12",6
"2017-08-13",7
"2017-08-14",7
"2017-08-15",8
"2017-08-16",5
"2017-08-17",8
"2017-08-18",12
"2017-08-19",8
"2017-08-20",9
"2017-08-21",7
"2017-08-22",7
"2017-08-23",7
"2017-08-24",7
"2017-08-25",6
"2017-08-26",7
"2017-08-27",7
"2017-08-28",5
"2017-08-29",6
"2017-08-30",6
"2017-08-31",6
"2017-09-01",5
"2017-09-02",6
"2017-09-03",7
"2017-09-04",6
"2017-09-05",5
"2017-09-06",5
"2017-09-07",6
"2017-09-08",4
"2017-09-09",5
"2017-09-10",7
"2017-09-11",5
"2017-09-12",5
"2017-09-13",4
"2017-09-14",4
"2017-09-15",4
"2017-09-16",6
"2017-09-17",7
"2017-09-18",6
"2017-09-19",5
"2017-09-20",4
"2017-09-21",4
"2017-09-22",4
"2017-09-23",4
"2017-09-24",6
"2017-09-25",6
"2017-09-26",5
"2017-09-27",5
"2017-09-28",4
"2017-09-29",4
"2017-09-30",3
"2017-10-01",5
"2017-10-02",39
"2017-10-03",22
"2017-10-04",15
"2017-10-05",13
"2017-10-06",11
"2017-10-07",15
"2017-10-08",14
"2017-10-09",10
"2017-10-10",8
"2017-10-11",8
"2017-10-12",8
"2017-10-13",7
"2017-10-14",6
"2017-10-15",8
"2017-10-16",8
"2017-10-17",8
"2017-10-18",9
"2017-10-19",7
"2017-10-20",6
"2017-10-21",7
"2017-10-22",7
"2017-10-23",7
"2017-10-24",6
"2017-10-25",6
"2017-10-26",6
"2017-10-27",6
"2017-10-28",7
"2017-10-29",7
"2017-10-30",5
"2017-10-31",6
"2017-11-01",5
"2017-11-02",5
"2017-11-03",5
"2017-11-04",5
"2017-11-05",6
"2017-11-06",6
"2017-11-07",6
"2017-11-08",6
"2017-11-09",5
"2017-11-10",5
"2017-11-11",5
"2017-11-12",6
"2017-11-13",5
"2017-11-14",5
"2017-11-15",4
"2017-11-16",4
"2017-11-17",6
"2017-11-18",7
"2017-11-19",7
"2017-11-20",6
"2017-11-21",7
"2017-11-22",6
"2017-11-23",5
"2017-11-24",4
"2017-11-25",5
"2017-11-26",6
"2017-11-27",5
"2017-11-28",5
"2017-11-29",4
"2017-11-30",4
"2017-12-01",4
"2017-12-02",5
"2017-12-03",11
"2017-12-04",7
"2017-12-05",6
"2017-12-06",6
"2017-12-07",6
"2017-12-08",7
"2017-12-09",8
"2017-12-10",10
"2017-12-11",9
"2017-12-12",8
"2017-12-13",8
"2017-12-14",8
"2017-12-15",7
"2017-12-16",8
"2017-12-17",9
"2017-12-18",13
"2017-12-19",16
"2017-12-20",14
"2017-12-21",13
"2017-12-22",10
"2017-12-23",13
"2017-12-24",13
"2017-12-25",19
"2017-12-26",13
"2017-12-27",10
"2017-12-28",9
"2017-12-29",8
"2017-12-30",11
"2017-12-31",11
"2018-01-01",11
"2018-01-02",9
"2018-01-03",9
"2018-01-04",7
"2018-01-05",7
"2018-01-06",6
"2018-01-07",7
"2018-01-08",7
"2018-01-09",7
"2018-01-10",7
"2018-01-11",6
"2018-01-12",5
"2018-01-13",8
"2018-01-14",12
"2018-01-15",6
"2018-01-16",7
"2018-01-17",6
"2018-01-18",6
"2018-01-19",6
"2018-01-20",8
"2018-01-21",8
"2018-01-22",6
"2018-01-23",6
"2018-01-24",6
"2018-01-25",6
"2018-01-26",5
"2018-01-27",4
"2018-01-28",6
"2018-01-29",6
"2018-01-30",5
"2018-01-31",8
"2018-02-01",6
"2018-02-02",5
"2018-02-03",6
"2018-02-04",7
"2018-02-05",6
"2018-02-06",6
"2018-02-07",6
"2018-02-08",5
"2018-02-09",4
"2018-02-10",5
"2018-02-11",6
"2018-02-12",5
"2018-02-13",6
"2018-02-14",6
"2018-02-15",7
"2018-02-16",9
"2018-02-17",9
"2018-02-18",8
"2018-02-19",6
"2018-02-20",6
"2018-02-21",5
"2018-02-22",7
"2018-02-23",5
"2018-02-24",5
"2018-02-25",9
"2018-02-26",7
"2018-02-27",7
"2018-02-28",6
"2018-03-01",7
"2018-03-02",6
"2018-03-03",7
"2018-03-04",22
"2018-03-05",19
"2018-03-06",15
"2018-03-07",9
"2018-03-08",9
"2018-03-09",7
"2018-03-10",10
"2018-03-11",11
"2018-03-12",7
"2018-03-13",7
"2018-03-14",5
"2018-03-15",6
"2018-03-16",6
"2018-03-17",7
"2018-03-18",8
"2018-03-19",6
"2018-03-20",5
"2018-03-21",5
"2018-03-22",5
"2018-03-23",6
"2018-03-24",7
"2018-03-25",8
"2018-03-26",6
"2018-03-27",7
"2018-03-28",5
"2018-03-29",5
"2018-03-30",5
"2018-03-31",5
"2018-04-01",11
"2018-04-02",7
"2018-04-03",6
"2018-04-04",6
"2018-04-05",6
"2018-04-06",5
"2018-04-07",5
"2018-04-08",11
"2018-04-09",9
"2018-04-10",8
"2018-04-11",7
"2018-04-12",6
"2018-04-13",7
"2018-04-14",11
"2018-04-15",100
"2018-04-16",47
"2018-04-17",21
"2018-04-18",23
"2018-04-19",14
