네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","위닉스공기청정기"
"2017-08-01",1
"2017-08-02",1
"2017-08-03",1
"2017-08-04",1
"2017-08-05",1
"2017-08-06",1
"2017-08-07",1
"2017-08-08",1
"2017-08-09",1
"2017-08-10",1
"2017-08-11",1
"2017-08-12",1
"2017-08-13",1
"2017-08-14",1
"2017-08-15",1
"2017-08-16",1
"2017-08-17",1
"2017-08-18",1
"2017-08-19",1
"2017-08-20",1
"2017-08-21",1
"2017-08-22",1
"2017-08-23",1
"2017-08-24",1
"2017-08-25",1
"2017-08-26",1
"2017-08-27",1
"2017-08-28",1
"2017-08-29",1
"2017-08-30",1
"2017-08-31",1
"2017-09-01",1
"2017-09-02",1
"2017-09-03",1
"2017-09-04",1
"2017-09-05",2
"2017-09-06",2
"2017-09-07",1
"2017-09-08",3
"2017-09-09",3
"2017-09-10",5
"2017-09-11",3
"2017-09-12",2
"2017-09-13",2
"2017-09-14",2
"2017-09-15",1
"2017-09-16",2
"2017-09-17",2
"2017-09-18",2
"2017-09-19",6
"2017-09-20",3
"2017-09-21",2
"2017-09-22",2
"2017-09-23",2
"2017-09-24",4
"2017-09-25",5
"2017-09-26",5
"2017-09-27",4
"2017-09-28",4
"2017-09-29",3
"2017-09-30",2
"2017-10-01",2
"2017-10-02",2
"2017-10-03",2
"2017-10-04",2
"2017-10-05",3
"2017-10-06",3
"2017-10-07",3
"2017-10-08",4
"2017-10-09",4
"2017-10-10",5
"2017-10-11",4
"2017-10-12",4
"2017-10-13",4
"2017-10-14",3
"2017-10-15",4
"2017-10-16",5
"2017-10-17",4
"2017-10-18",4
"2017-10-19",3
"2017-10-20",3
"2017-10-21",3
"2017-10-22",3
"2017-10-23",4
"2017-10-24",4
"2017-10-25",4
"2017-10-26",4
"2017-10-27",4
"2017-10-28",3
"2017-10-29",4
"2017-10-30",5
"2017-10-31",4
"2017-11-01",5
"2017-11-02",4
"2017-11-03",4
"2017-11-04",4
"2017-11-05",5
"2017-11-06",6
"2017-11-07",6
"2017-11-08",8
"2017-11-09",5
"2017-11-10",5
"2017-11-11",5
"2017-11-12",5
"2017-11-13",5
"2017-11-14",5
"2017-11-15",4
"2017-11-16",3
"2017-11-17",3
"2017-11-18",3
"2017-11-19",4
"2017-11-20",4
"2017-11-21",4
"2017-11-22",5
"2017-11-23",4
"2017-11-24",4
"2017-11-25",4
"2017-11-26",5
"2017-11-27",6
"2017-11-28",5
"2017-11-29",5
"2017-11-30",4
"2017-12-01",4
"2017-12-02",4
"2017-12-03",5
"2017-12-04",5
"2017-12-05",4
"2017-12-06",4
"2017-12-07",4
"2017-12-08",3
"2017-12-09",5
"2017-12-10",4
"2017-12-11",4
"2017-12-12",4
"2017-12-13",4
"2017-12-14",4
"2017-12-15",3
"2017-12-16",3
"2017-12-17",4
"2017-12-18",4
"2017-12-19",4
"2017-12-20",4
"2017-12-21",3
"2017-12-22",3
"2017-12-23",5
"2017-12-24",5
"2017-12-25",5
"2017-12-26",5
"2017-12-27",4
"2017-12-28",5
"2017-12-29",6
"2017-12-30",13
"2017-12-31",9
"2018-01-01",9
"2018-01-02",10
"2018-01-03",7
"2018-01-04",6
"2018-01-05",6
"2018-01-06",6
"2018-01-07",8
"2018-01-08",9
"2018-01-09",7
"2018-01-10",5
"2018-01-11",5
"2018-01-12",4
"2018-01-13",6
"2018-01-14",9
"2018-01-15",12
"2018-01-16",22
"2018-01-17",32
"2018-01-18",36
"2018-01-19",22
"2018-01-20",28
"2018-01-21",36
"2018-01-22",25
"2018-01-23",16
"2018-01-24",12
"2018-01-25",11
"2018-01-26",8
"2018-01-27",8
"2018-01-28",10
"2018-01-29",9
"2018-01-30",10
"2018-01-31",8
"2018-02-01",9
"2018-02-02",7
"2018-02-03",7
"2018-02-04",7
"2018-02-05",8
"2018-02-06",7
"2018-02-07",7
"2018-02-08",6
"2018-02-09",6
"2018-02-10",7
"2018-02-11",8
"2018-02-12",6
"2018-02-13",5
"2018-02-14",5
"2018-02-15",5
"2018-02-16",5
"2018-02-17",6
"2018-02-18",7
"2018-02-19",10
"2018-02-20",10
"2018-02-21",8
"2018-02-22",7
"2018-02-23",8
"2018-02-24",11
"2018-02-25",9
"2018-02-26",9
"2018-02-27",11
"2018-02-28",10
"2018-03-01",12
"2018-03-02",9
"2018-03-03",9
"2018-03-04",10
"2018-03-05",9
"2018-03-06",8
"2018-03-07",8
"2018-03-08",7
"2018-03-09",8
"2018-03-10",8
"2018-03-11",10
"2018-03-12",16
"2018-03-13",16
"2018-03-14",10
"2018-03-15",8
"2018-03-16",7
"2018-03-17",6
"2018-03-18",8
"2018-03-19",8
"2018-03-20",7
"2018-03-21",6
"2018-03-22",6
"2018-03-23",7
"2018-03-24",15
"2018-03-25",53
"2018-03-26",100
"2018-03-27",91
"2018-03-28",73
"2018-03-29",64
"2018-03-30",38
"2018-03-31",36
"2018-04-01",41
"2018-04-02",36
"2018-04-03",26
"2018-04-04",23
"2018-04-05",18
"2018-04-06",25
"2018-04-07",21
"2018-04-08",21
"2018-04-09",23
"2018-04-10",20
"2018-04-11",22
"2018-04-12",18
"2018-04-13",14
"2018-04-14",14
"2018-04-15",29
"2018-04-16",23
"2018-04-17",22
"2018-04-18",21
"2018-04-19",22
