네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","구명조끼"
"2017-08-01",89
"2017-08-02",76
"2017-08-03",72
"2017-08-04",55
"2017-08-05",60
"2017-08-06",83
"2017-08-07",100
"2017-08-08",94
"2017-08-09",87
"2017-08-10",55
"2017-08-11",45
"2017-08-12",42
"2017-08-13",57
"2017-08-14",52
"2017-08-15",47
"2017-08-16",44
"2017-08-17",29
"2017-08-18",28
"2017-08-19",27
"2017-08-20",34
"2017-08-21",41
"2017-08-22",35
"2017-08-23",33
"2017-08-24",26
"2017-08-25",22
"2017-08-26",22
"2017-08-27",26
"2017-08-28",26
"2017-08-29",25
"2017-08-30",23
"2017-08-31",13
"2017-09-01",9
"2017-09-02",9
"2017-09-03",12
"2017-09-04",15
"2017-09-05",12
"2017-09-06",12
"2017-09-07",9
"2017-09-08",9
"2017-09-09",7
"2017-09-10",14
"2017-09-11",15
"2017-09-12",12
"2017-09-13",10
"2017-09-14",9
"2017-09-15",6
"2017-09-16",7
"2017-09-17",12
"2017-09-18",12
"2017-09-19",12
"2017-09-20",11
"2017-09-21",11
"2017-09-22",8
"2017-09-23",9
"2017-09-24",11
"2017-09-25",17
"2017-09-26",13
"2017-09-27",10
"2017-09-28",8
"2017-09-29",5
"2017-09-30",6
"2017-10-01",8
"2017-10-02",8
"2017-10-03",9
"2017-10-04",6
"2017-10-05",7
"2017-10-06",11
"2017-10-07",10
"2017-10-08",11
"2017-10-09",20
"2017-10-10",15
"2017-10-11",12
"2017-10-12",13
"2017-10-13",9
"2017-10-14",8
"2017-10-15",13
"2017-10-16",15
"2017-10-17",10
"2017-10-18",11
"2017-10-19",11
"2017-10-20",8
"2017-10-21",10
"2017-10-22",11
"2017-10-23",10
"2017-10-24",10
"2017-10-25",8
"2017-10-26",8
"2017-10-27",6
"2017-10-28",6
"2017-10-29",10
"2017-10-30",10
"2017-10-31",9
"2017-11-01",7
"2017-11-02",10
"2017-11-03",8
"2017-11-04",7
"2017-11-05",9
"2017-11-06",9
"2017-11-07",9
"2017-11-08",9
"2017-11-09",9
"2017-11-10",6
"2017-11-11",6
"2017-11-12",9
"2017-11-13",7
"2017-11-14",7
"2017-11-15",6
"2017-11-16",5
"2017-11-17",7
"2017-11-18",6
"2017-11-19",7
"2017-11-20",8
"2017-11-21",7
"2017-11-22",6
"2017-11-23",6
"2017-11-24",6
"2017-11-25",6
"2017-11-26",6
"2017-11-27",8
"2017-11-28",6
"2017-11-29",7
"2017-11-30",5
"2017-12-01",5
"2017-12-02",6
"2017-12-03",14
"2017-12-04",12
"2017-12-05",12
"2017-12-06",11
"2017-12-07",7
"2017-12-08",7
"2017-12-09",8
"2017-12-10",9
"2017-12-11",8
"2017-12-12",9
"2017-12-13",9
"2017-12-14",7
"2017-12-15",5
"2017-12-16",6
"2017-12-17",8
"2017-12-18",10
"2017-12-19",7
"2017-12-20",10
"2017-12-21",5
"2017-12-22",6
"2017-12-23",7
"2017-12-24",6
"2017-12-25",10
"2017-12-26",13
"2017-12-27",10
"2017-12-28",9
"2017-12-29",7
"2017-12-30",6
"2017-12-31",8
"2018-01-01",13
"2018-01-02",12
"2018-01-03",13
"2018-01-04",8
"2018-01-05",7
"2018-01-06",9
"2018-01-07",14
"2018-01-08",11
"2018-01-09",15
"2018-01-10",10
"2018-01-11",9
"2018-01-12",8
"2018-01-13",9
"2018-01-14",12
"2018-01-15",11
"2018-01-16",11
"2018-01-17",12
"2018-01-18",9
"2018-01-19",8
"2018-01-20",11
"2018-01-21",10
"2018-01-22",12
"2018-01-23",12
"2018-01-24",8
"2018-01-25",7
"2018-01-26",8
"2018-01-27",10
"2018-01-28",10
"2018-01-29",11
"2018-01-30",9
"2018-01-31",10
"2018-02-01",9
"2018-02-02",8
"2018-02-03",13
"2018-02-04",11
"2018-02-05",11
"2018-02-06",10
"2018-02-07",9
"2018-02-08",8
"2018-02-09",6
"2018-02-10",7
"2018-02-11",9
"2018-02-12",7
"2018-02-13",7
"2018-02-14",5
"2018-02-15",5
"2018-02-16",5
"2018-02-17",6
"2018-02-18",13
"2018-02-19",12
"2018-02-20",9
"2018-02-21",12
"2018-02-22",10
"2018-02-23",8
"2018-02-24",7
"2018-02-25",11
"2018-02-26",12
"2018-02-27",11
"2018-02-28",10
"2018-03-01",10
"2018-03-02",8
"2018-03-03",8
"2018-03-04",13
"2018-03-05",11
"2018-03-06",8
"2018-03-07",6
"2018-03-08",8
"2018-03-09",6
"2018-03-10",8
"2018-03-11",9
"2018-03-12",10
"2018-03-13",7
"2018-03-14",10
"2018-03-15",9
"2018-03-16",7
"2018-03-17",6
"2018-03-18",9
"2018-03-19",10
"2018-03-20",9
"2018-03-21",10
"2018-03-22",9
"2018-03-23",7
"2018-03-24",7
"2018-03-25",11
"2018-03-26",9
"2018-03-27",9
"2018-03-28",7
"2018-03-29",8
"2018-03-30",7
"2018-03-31",7
"2018-04-01",11
"2018-04-02",10
"2018-04-03",9
"2018-04-04",10
"2018-04-05",8
"2018-04-06",8
"2018-04-07",7
"2018-04-08",9
"2018-04-09",11
"2018-04-10",12
"2018-04-11",12
"2018-04-12",10
"2018-04-13",9
"2018-04-14",9
"2018-04-15",11
"2018-04-16",12
"2018-04-17",12
"2018-04-18",10
"2018-04-19",11
